testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,pulleach,burnins,gens,burnincrosses
scenario244,100,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15,2000
scenario245,50,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15,2000
scenario246,20,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15,2000
scenario247,100,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15,2000
scenario248,50,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15,2000
scenario249,20,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15,2000
scenario250,100,1000,0.5,10,500,50,4000,FALSE,NULL,4,5,15,2000
scenario251,50,1000,0.5,10,500,50,4000,FALSE,NULL,4,5,15,2000
scenario252,20,1000,0.5,10,500,50,4000,FALSE,NULL,4,5,15,2000
scenario253,100,1000,0.5,10,500,50,4000,TRUE,0.42,4,5,15,2000
scenario254,50,1000,0.5,10,500,50,4000,TRUE,0.42,4,5,15,2000
scenario255,20,1000,0.5,10,500,50,4000,TRUE,0.42,4,5,15,2000
scenario256,100,1000,0.5,10,500,50,8000,FALSE,NULL,8,5,15,2000
scenario257,50,1000,0.5,10,500,50,8000,FALSE,NULL,8,5,15,2000
scenario258,20,1000,0.5,10,500,50,8000,FALSE,NULL,8,5,15,2000
scenario259,100,1000,0.5,10,500,50,8000,TRUE,0.42,8,5,15,2000
scenario260,50,1000,0.5,10,500,50,8000,TRUE,0.42,8,5,15,2000
scenario261,20,1000,0.5,10,500,50,8000,TRUE,0.42,8,5,15,2000
scenario262,100,1000,0.5,10,500,50,4000,FALSE,NULL,2,5,10,2000
scenario263,50,1000,0.5,10,500,50,4000,FALSE,NULL,2,5,10,2000
scenario264,20,1000,0.5,10,500,50,4000,FALSE,NULL,2,5,10,2000
scenario265,100,1000,0.5,10,500,50,4000,TRUE,0.42,2,5,10,2000
scenario266,50,1000,0.5,10,500,50,4000,TRUE,0.42,2,5,10,2000
scenario267,20,1000,0.5,10,500,50,4000,TRUE,0.42,2,5,10,2000
scenario268,100,1000,0.5,10,500,50,8000,FALSE,NULL,4,5,10,2000
scenario269,50,1000,0.5,10,500,50,8000,FALSE,NULL,4,5,10,2000
scenario270,20,1000,0.5,10,500,50,8000,FALSE,NULL,4,5,10,2000
scenario271,100,1000,0.5,10,500,50,8000,TRUE,0.42,4,5,10,2000
scenario272,50,1000,0.5,10,500,50,8000,TRUE,0.42,4,5,10,2000
scenario273,20,1000,0.5,10,500,50,8000,TRUE,0.42,4,5,10,2000
