testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,pulleach,burnins,gens
scenario73,1000,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario74,500,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario75,250,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario76,100,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario77,50,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario78,20,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario79,10,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario80,1,1000,0.2,10,500,50,2000,FALSE,NULL,5,5,25
scenario81,1000,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario82,500,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario83,250,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario84,100,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario85,50,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario86,20,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario87,10,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario88,1,1000,0.2,10,500,50,2000,TRUE,0.42,5,5,25
scenario89,1000,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario90,500,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario91,250,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario92,100,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario93,50,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario94,20,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario95,10,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario96,1,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario97,1000,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario98,500,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario99,250,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario100,100,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario101,50,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario102,20,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario103,10,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario104,1,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario105,1000,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario106,500,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario107,250,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario108,100,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario109,50,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario110,20,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario111,10,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario112,1,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,10
scenario113,1000,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario114,500,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario115,250,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario116,100,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario117,50,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario118,20,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario119,10,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario120,1,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,10
scenario121,1000,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario122,500,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario123,250,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario124,100,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario125,50,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario126,20,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario127,10,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario128,1,1000,0.2,10,500,50,2000,FALSE,NULL,2,5,15
scenario129,1000,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario130,500,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario131,250,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario132,100,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario133,50,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario134,20,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario135,10,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
